OBJECTID,Station_ID,Feature_Origin,Notes,Confidence_Feature_ID,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Measurement_Confidence,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Measurement_Confidence,Slip_Offset_Feature_Notes,Diameter_m,Height_of_Material_m,Estimated_Max_VertMov_m,LQ_Area_Affected_sqm,Date_of_Movement,Displacement_Amount,Est_Direction_SM,Landslide_Feature,Slide_Type,Material_Type,Depth,SM_Area_Affected_sqm,Est_Max_Drop_Elev_ft,Length_Exposed_Downslope,Cause_of_Damage,Facility_Affected,Utility_Affected,Damage_Severity,GlobalID,CreationDate,Creator,EditDate,Editor,_citation,_comp_offset,_latitude,_longitude,_observed_feature,_orig_lat,_orig_lon,_photo,_trace
1,1.0,Uncertain,"Source: Napa 2014; Minor cracking; no obvious offset; possibly old. Compiler note: From photo, fracture is oriented NW, not consistent with lineament trend to be an en echelon fracture. Also, looks to be about 10 m E of lineament.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:09:11,,,,,,,,,,,,,,,2025-07-16 14:08:38.073080,DeLong,2025-07-16 14:08:38.073080,Napa_Migration,,,38.205764,-122.309377,Soil,38.2059021,-122.3093948,Y,A
2,2.0,Uncertain,Source: Napa 2014; Mole tracks along levee. Trend 320 azimuth. About 1 in high and 3 in wide.,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,2025-07-16 14:08:38.092830,Lancaster,2025-07-16 14:08:38.092830,Napa_Migration,,,38.20603297,-122.2990855,Soil,38.20602798,-122.29907,Y,A
3,3.0,Uncertain,Source: Napa 2014; Northeast trending fractures through levee. 2-3 in wide; trending 10 degree azimuth.,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,2025-07-16 14:08:38.097837,Lancaster,2025-07-16 14:08:38.097837,Napa_Migration,,,38.20675395,-122.3009929,Soil,38.20679474,-122.300972,Y,A
4,4.0,Uncertain,Source: Napa 2014; Faint mole track in levee. Roughly 4 in wide with no available offset indicators. Azimuth of mole track trend 310. ,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:08:26,,,,,,,,,,,,,,,2025-07-16 14:08:38.100845,Lancaster,2025-07-16 14:08:38.100845,Napa_Migration,,,38.2079861,-122.3057383,Soil,38.20806885,-122.3056717,Y,A
5,5.0,Tectonic,"Source: Napa 2014; Cracking. Compiler note: On UAVSAR lineament that shows postseismic movement. From photo, trend of fracture is to the NE, consistent with this being an en echelon fracture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:09:11,,,,,,,,,,,,,,,2025-07-16 14:08:38.103838,DeLong,2025-07-16 14:08:38.103838,Napa_Migration,,,38.20818446,-122.3091868,Pavement,38.2081337,-122.3091583,Y,A
6,6.0,Tectonic,Source: Napa 2014; Rupture based on disturbed vegetation and water-filled depressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:09:10,,,,,,,,,,,,,,,2025-07-16 14:08:38.108139,Hoirup/Hitchcock,2025-07-16 14:08:38.108139,Napa_Migration,,,38.21331904,-122.3066005,Soil,38.21330643,-122.3066254,Y,A
7,7.0,Tectonic,Source: Napa 2014; Abrupt drainage coincident with apparent fault rupture. Dying vegetation aligns with water-filled cracks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:09:10,,,,,,,,,,,,,,,2025-07-16 14:08:38.111135,Hoirup/Hitchcock,2025-07-16 14:08:38.111135,Napa_Migration,,,38.21358989,-122.3068675,Soil,38.21371841,-122.3069382,Y,A
8,8.0,Uncertain,Source: Napa 2014; Ground cracking in area. No evidence it is tectonic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:09:12,,,,,,,,,,,,,,,2025-07-16 14:08:38.115143,DeLong,2025-07-16 14:08:38.115143,Napa_Migration,,,38.21721385,-122.3088969,Soil,38.21720886,-122.3088837,Y,A
9,9.0,Tectonic,Source: Napa 2014; Possible fault rupture in vegetation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:09:10,,,,,,,,,,,,,,,2025-07-16 14:08:38.118378,Hoirup/Hitchcock,2025-07-16 14:08:38.118378,Napa_Migration,,,38.21908804,-122.309136,Soil,38.21925735,-122.3092728,Y,A
10,10.0,Tectonic,Source: Napa 2014; Possible fault rupture; gap in vegetation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014:09:10,,,,,,,,,,,,,,,2025-07-16 14:08:38.123393,Hoirup/Hitchcock,2025-07-16 14:08:38.123393,Napa_Migration,,,38.22007869,-122.309553,Soil,38.2200737,-122.3095398,Y,A
